,Gene,Spearman correlation,Pearson correlation,Slide,Method
0,TTLL12,0.103799576582446,0.12163638097770375,CID4290,Hist2ST
1,B2M,0.12470815003750309,0.7271461161826565,CID4290,Hist2ST
2,CD74,0.14421484620002148,0.6076464146003131,CID4290,Hist2ST
3,TFF3,0.19453802931770828,0.21013261712960618,CID4290,Hist2ST
4,CD24,0.31045414904581736,0.7513685222935149,CID4290,Hist2ST
5,FASN,0.20762886890499527,0.4135865732303915,CID4290,Hist2ST
6,COX6C,0.12169524200897631,0.4766434430344536,CID4290,Hist2ST
7,CD63,0.2082616330730625,0.6917280296827564,CID4290,Hist2ST
8,ATP1A1,0.23824547995697856,0.43229655026864267,CID4290,Hist2ST
9,CD81,0.18181740347032513,0.5045073600839571,CID4290,Hist2ST
10,SPARC,0.07465751741756213,0.6379669299899084,CID4290,Hist2ST
11,HSP90AB1,0.217848563710389,0.653750852492242,CID4290,Hist2ST
