,Gene,Spearman correlation,Pearson correlation,Slide,Method
0,TFF3,-0.010340254373906585,-0.011918654551769131,1142243F,Hist2ST
1,SPARC,0.07196729864973452,0.03685506077758126,1142243F,Hist2ST
2,TTLL12,-0.05335252676187521,-0.07603403359028678,1142243F,Hist2ST
3,COX6C,0.05754571541740272,0.021021077408762127,1142243F,Hist2ST
4,CD24,-0.1266072099921076,-0.07426371282367056,1142243F,Hist2ST
5,CD81,0.13530142511032164,0.039891497857435544,1142243F,Hist2ST
6,FASN,-0.10326363667783159,-0.13103971294109362,1142243F,Hist2ST
7,HSP90AB1,-0.07829718324236687,-0.06399477714952231,1142243F,Hist2ST
8,ATP1A1,-0.14561283041392806,-0.121934094512058,1142243F,Hist2ST
9,B2M,-0.11609634837285421,-0.05985048797414501,1142243F,Hist2ST
10,CD63,-0.05513181573834343,-0.054099053500220706,1142243F,Hist2ST
11,CD74,-0.09891135506721985,-0.039478537356757916,1142243F,Hist2ST
