,Gene,Spearman correlation,Pearson correlation,Slide,Method
0,COX6C,-0.10204424587616856,-0.08791909296449404,CID44971,Hist2ST
1,TFF3,-0.13759978385245034,-0.1283392590819577,CID44971,Hist2ST
2,SPARC,0.2546767541066287,0.3548159758053655,CID44971,Hist2ST
3,CD74,0.22412837299054014,0.3371288198257603,CID44971,Hist2ST
4,CD81,0.2542203354009349,0.2839761664403402,CID44971,Hist2ST
5,CD63,0.20934135245869961,0.2692867628736367,CID44971,Hist2ST
6,FASN,-0.1243871039075071,-0.11443104319616185,CID44971,Hist2ST
7,CD24,0.16656889241621115,0.1636707634610432,CID44971,Hist2ST
8,HSP90AB1,0.001000305114864732,0.03833478224317311,CID44971,Hist2ST
9,ATP1A1,0.31587473160472096,0.3328254112826624,CID44971,Hist2ST
10,B2M,0.24645402726810667,0.3914898197437917,CID44971,Hist2ST
11,TTLL12,-0.20329121224192886,-0.1850743157755352,CID44971,Hist2ST
