,Gene,Spearman correlation,Pearson correlation,Slide,Method
0,CD63,0.14531429786359232,0.2623742920993754,CID4535,HisToGene
1,CD24,0.14328479706463795,0.2250282308384943,CID4535,HisToGene
2,HSP90AB1,0.12580337700754698,0.2354476837212796,CID4535,HisToGene
3,TTLL12,-0.35088469272149336,-0.273876676251259,CID4535,HisToGene
4,B2M,0.12623841871238364,-0.037381908469752055,CID4535,HisToGene
5,CD81,0.21322453714378767,0.3206230745914371,CID4535,HisToGene
6,CD74,0.04761774409796428,-0.11850630839668388,CID4535,HisToGene
7,ATP1A1,0.24329693106368108,0.3207895548063136,CID4535,HisToGene
8,SPARC,0.09086874252810977,0.1687410177744847,CID4535,HisToGene
9,COX6C,-0.018313564923150626,0.011261212213389656,CID4535,HisToGene
10,TFF3,-0.28957762711621,-0.2599214199006187,CID4535,HisToGene
11,FASN,-0.2833588064589865,-0.3170264897561216,CID4535,HisToGene
