,Gene,Spearman correlation,Pearson correlation,Slide,Method
0,ATP1A1,0.40043287049432275,0.48688791843315754,CID4290,HisToGene
1,FASN,-0.41532220465824676,-0.502567472419992,CID4290,HisToGene
2,HSP90AB1,0.33677312078432653,0.482916025133201,CID4290,HisToGene
3,SPARC,0.2653814467858921,0.4136298689232223,CID4290,HisToGene
4,CD24,0.2447009780448395,0.4175342190135959,CID4290,HisToGene
5,TTLL12,-0.2484741256883917,-0.20529656244100924,CID4290,HisToGene
6,CD63,0.3262809140589501,0.49546198658032314,CID4290,HisToGene
7,COX6C,-0.18300287169207646,-0.2146632268287108,CID4290,HisToGene
8,CD74,-0.0744593582417536,-0.31209717801070397,CID4290,HisToGene
9,B2M,0.0667888207767711,0.30633635705505596,CID4290,HisToGene
10,TFF3,-0.43473500478568333,-0.5438991838503076,CID4290,HisToGene
11,CD81,0.3732158307288532,0.5219246028263503,CID4290,HisToGene
