,Gene,Spearman correlation,Pearson correlation,Slide,Method
0,HSP90AB1,0.3880466110797535,0.5199144108082933,CID4465,Hist2ST
1,TFF3,0.061875601347437824,0.03862851089382712,CID4465,Hist2ST
2,CD24,0.23572375748736965,0.4924398294039413,CID4465,Hist2ST
3,CD63,0.4240731970769056,0.5330190721112553,CID4465,Hist2ST
4,SPARC,0.37428612859847615,0.5150184672059668,CID4465,Hist2ST
5,CD74,0.3077280039379555,0.5673363999071357,CID4465,Hist2ST
6,ATP1A1,0.37744886419723406,0.4122090757120392,CID4465,Hist2ST
7,CD81,0.44712822326313334,0.538984376939386,CID4465,Hist2ST
8,B2M,0.28357704611464735,0.6271750228671793,CID4465,Hist2ST
9,FASN,0.31762884763661353,0.3900805185595606,CID4465,Hist2ST
10,TTLL12,0.24910754618003686,0.23072798413158518,CID4465,Hist2ST
11,COX6C,0.30632514691016854,0.4071388605110252,CID4465,Hist2ST
