,Pearson correlation,Gene,Slide,Method
ISG15,-0.04735734898740218,ISG15,1142243F,Hist2ST
PLA2G2D,0.0025328314521427518,PLA2G2D,1142243F,Hist2ST
CAMK2N1,-0.021201318658002566,CAMK2N1,1142243F,Hist2ST
USP48,-0.007311739365967008,USP48,1142243F,Hist2ST
TCEA3,0.008283000764921397,TCEA3,1142243F,Hist2ST
PNRC2,0.04461073644317541,PNRC2,1142243F,Hist2ST
LDLRAP1,0.023833452338803136,LDLRAP1,1142243F,Hist2ST
IFI6,-0.12481698817125264,IFI6,1142243F,Hist2ST
PSMB2,0.044764381903477035,PSMB2,1142243F,Hist2ST
GNL2,0.04337803582182471,GNL2,1142243F,Hist2ST
SF3A3,0.04577756019858008,SF3A3,1142243F,Hist2ST
UTP11,0.055525631172151445,UTP11,1142243F,Hist2ST
AKIRIN1,0.018649062801323064,AKIRIN1,1142243F,Hist2ST
MFSD2A,0.016033204440737248,MFSD2A,1142243F,Hist2ST
CAP1,0.015751809569543477,CAP1,1142243F,Hist2ST
CTPS1,0.028900833818061276,CTPS1,1142243F,Hist2ST
PPCS,0.033530694944695794,PPCS,1142243F,Hist2ST
PPIH,0.0355007318872014,PPIH,1142243F,Hist2ST
YBX1,0.05983637543046336,YBX1,1142243F,Hist2ST
EBNA1BP2,0.03585546397737414,EBNA1BP2,1142243F,Hist2ST
CDC20,0.03446909564275934,CDC20,1142243F,Hist2ST
PTPRF,-0.015237178071477436,PTPRF,1142243F,Hist2ST
KDM4A,0.04161603640599645,KDM4A,1142243F,Hist2ST
EIF2B3,0.03699407517563686,EIF2B3,1142243F,Hist2ST
NASP,0.07017413273977707,NASP,1142243F,Hist2ST
GPBP1L1,0.04673915661091886,GPBP1L1,1142243F,Hist2ST
TSPAN1,-0.05124252253289106,TSPAN1,1142243F,Hist2ST
RAD54L,0.004665722810052052,RAD54L,1142243F,Hist2ST
LRRC41,0.017081685882176505,LRRC41,1142243F,Hist2ST
CMPK1,0.0276773315147254,CMPK1,1142243F,Hist2ST
RNF11,0.023955295740011782,RNF11,1142243F,Hist2ST
TTC39A,0.0027717575152067693,TTC39A,1142243F,Hist2ST
TXNDC12,0.045439026332626406,TXNDC12,1142243F,Hist2ST
PRPF38A,0.025524604358033845,PRPF38A,1142243F,Hist2ST
SCP2,0.021933293008133112,SCP2,1142243F,Hist2ST
NDC1,0.0027455051315054746,NDC1,1142243F,Hist2ST
HSPB11,0.04692277905373672,HSPB11,1142243F,Hist2ST
TMEM59,0.03532852118748657,TMEM59,1142243F,Hist2ST
SSBP3,-0.02323007254531227,SSBP3,1142243F,Hist2ST
TACSTD2,-0.1727162496858625,TACSTD2,1142243F,Hist2ST
MYSM1,-0.004775120841294534,MYSM1,1142243F,Hist2ST
TM2D1,-0.0028979823117801034,TM2D1,1142243F,Hist2ST
PATJ,-0.013285952799365966,PATJ,1142243F,Hist2ST
USP1,0.024124152795653345,USP1,1142243F,Hist2ST
JAK1,0.010369908239250842,JAK1,1142243F,Hist2ST
LEPROT,-0.03063938884995712,LEPROT,1142243F,Hist2ST
GNG12,-0.035486221341245676,GNG12,1142243F,Hist2ST
SRSF11,-0.011544108748007615,SRSF11,1142243F,Hist2ST
USP33,0.02062255517380099,USP33,1142243F,Hist2ST
IFI44L,-0.07188267186446581,IFI44L,1142243F,Hist2ST
IFI44,-0.013102598542002776,IFI44,1142243F,Hist2ST
GNG5,0.04899607444351499,GNG5,1142243F,Hist2ST
LMO4,0.044856369173883665,LMO4,1142243F,Hist2ST
GTF2B,0.02398216170040275,GTF2B,1142243F,Hist2ST
GBP1,0.008784614744970507,GBP1,1142243F,Hist2ST
GBP2,0.047872312048218714,GBP2,1142243F,Hist2ST
GBP5,0.00626318660729562,GBP5,1142243F,Hist2ST
LRRC8B,0.053809255063625404,LRRC8B,1142243F,Hist2ST
LRRC8D,0.050606254708545496,LRRC8D,1142243F,Hist2ST
CDC7,0.041700152179815424,CDC7,1142243F,Hist2ST
GLMN,0.0011995167007315252,GLMN,1142243F,Hist2ST
MTF2,-0.015194033150050286,MTF2,1142243F,Hist2ST
TMED5,0.008618369799208537,TMED5,1142243F,Hist2ST
CCDC18,-0.0015506952891109847,CCDC18,1142243F,Hist2ST
DR1,0.016673892372698028,DR1,1142243F,Hist2ST
FNBP1L,0.017740483017043326,FNBP1L,1142243F,Hist2ST
BCAR3,-0.029849093764106036,BCAR3,1142243F,Hist2ST
DNTTIP2,0.007397243863889184,DNTTIP2,1142243F,Hist2ST
GCLM,0.022653789982456297,GCLM,1142243F,Hist2ST
ARHGAP29,-0.03531835359604457,ARHGAP29,1142243F,Hist2ST
ABCD3,0.004977259420605758,ABCD3,1142243F,Hist2ST
CNN3,-0.023560937464132202,CNN3,1142243F,Hist2ST
ALG14,0.040274058102974665,ALG14,1142243F,Hist2ST
