,Pearson correlation,Gene,Slide,Method
ISG15,0.4466555130074427,ISG15,CID44971,Hist2ST
PLA2G2D,0.24957703976238377,PLA2G2D,CID44971,Hist2ST
CAMK2N1,0.18592227346450044,CAMK2N1,CID44971,Hist2ST
USP48,0.2636141374205681,USP48,CID44971,Hist2ST
TCEA3,0.31313393119658406,TCEA3,CID44971,Hist2ST
PNRC2,0.49006439277711833,PNRC2,CID44971,Hist2ST
LDLRAP1,0.17073135361746677,LDLRAP1,CID44971,Hist2ST
IFI6,0.5305783844362494,IFI6,CID44971,Hist2ST
PSMB2,0.5822327867727933,PSMB2,CID44971,Hist2ST
GNL2,0.3610546365890335,GNL2,CID44971,Hist2ST
SF3A3,0.4072999694074325,SF3A3,CID44971,Hist2ST
UTP11,0.3366566130986115,UTP11,CID44971,Hist2ST
AKIRIN1,0.37753098963221116,AKIRIN1,CID44971,Hist2ST
MFSD2A,0.025356705837552725,MFSD2A,CID44971,Hist2ST
CAP1,0.5743679624984219,CAP1,CID44971,Hist2ST
CTPS1,0.30762462996376283,CTPS1,CID44971,Hist2ST
PPCS,0.3037702801420483,PPCS,CID44971,Hist2ST
PPIH,0.3955373716722213,PPIH,CID44971,Hist2ST
YBX1,0.5883394512139525,YBX1,CID44971,Hist2ST
EBNA1BP2,0.4275998630164827,EBNA1BP2,CID44971,Hist2ST
CDC20,0.3349614406092841,CDC20,CID44971,Hist2ST
PTPRF,0.6014773129630011,PTPRF,CID44971,Hist2ST
KDM4A,0.265739899477542,KDM4A,CID44971,Hist2ST
EIF2B3,0.29845695477522977,EIF2B3,CID44971,Hist2ST
NASP,0.47031646830345425,NASP,CID44971,Hist2ST
GPBP1L1,0.4551949425859358,GPBP1L1,CID44971,Hist2ST
TSPAN1,0.09774590379211054,TSPAN1,CID44971,Hist2ST
RAD54L,0.22762089618921755,RAD54L,CID44971,Hist2ST
LRRC41,0.38886619266241235,LRRC41,CID44971,Hist2ST
CMPK1,0.41067822711563057,CMPK1,CID44971,Hist2ST
RNF11,0.36256688552962757,RNF11,CID44971,Hist2ST
TTC39A,0.2597518164535028,TTC39A,CID44971,Hist2ST
TXNDC12,0.33534433642037803,TXNDC12,CID44971,Hist2ST
PRPF38A,0.2805643352749882,PRPF38A,CID44971,Hist2ST
SCP2,0.4844463049426081,SCP2,CID44971,Hist2ST
NDC1,0.3308514212907218,NDC1,CID44971,Hist2ST
HSPB11,0.35983275288682776,HSPB11,CID44971,Hist2ST
TMEM59,0.5151058295473621,TMEM59,CID44971,Hist2ST
SSBP3,0.3697171016637289,SSBP3,CID44971,Hist2ST
TACSTD2,0.416604203576808,TACSTD2,CID44971,Hist2ST
MYSM1,0.2085249832144052,MYSM1,CID44971,Hist2ST
TM2D1,0.2431206703668851,TM2D1,CID44971,Hist2ST
PATJ,0.29463913954088405,PATJ,CID44971,Hist2ST
USP1,0.28369392683625727,USP1,CID44971,Hist2ST
JAK1,0.38852366705449165,JAK1,CID44971,Hist2ST
LEPROT,0.2964921911765504,LEPROT,CID44971,Hist2ST
GNG12,0.19524073887507043,GNG12,CID44971,Hist2ST
SRSF11,0.4223024107875571,SRSF11,CID44971,Hist2ST
USP33,0.30658112208948235,USP33,CID44971,Hist2ST
IFI44L,0.3133826629806683,IFI44L,CID44971,Hist2ST
IFI44,0.3406706997740453,IFI44,CID44971,Hist2ST
GNG5,0.6078827172024253,GNG5,CID44971,Hist2ST
LMO4,0.5484609953639781,LMO4,CID44971,Hist2ST
GTF2B,0.21113689946909744,GTF2B,CID44971,Hist2ST
GBP1,0.45545911595870525,GBP1,CID44971,Hist2ST
GBP2,0.3710682563729421,GBP2,CID44971,Hist2ST
GBP5,0.3688404664673445,GBP5,CID44971,Hist2ST
LRRC8B,0.2561587476781183,LRRC8B,CID44971,Hist2ST
LRRC8D,0.42017187906459263,LRRC8D,CID44971,Hist2ST
CDC7,0.20315759559813443,CDC7,CID44971,Hist2ST
GLMN,0.16164098793216983,GLMN,CID44971,Hist2ST
MTF2,0.24868404650128959,MTF2,CID44971,Hist2ST
TMED5,0.3499628904185481,TMED5,CID44971,Hist2ST
CCDC18,0.07311864696026721,CCDC18,CID44971,Hist2ST
DR1,0.3200864768569228,DR1,CID44971,Hist2ST
FNBP1L,0.3504206864612185,FNBP1L,CID44971,Hist2ST
BCAR3,0.06607516850259965,BCAR3,CID44971,Hist2ST
DNTTIP2,0.2626213506201142,DNTTIP2,CID44971,Hist2ST
GCLM,0.32768886351984067,GCLM,CID44971,Hist2ST
ARHGAP29,0.1705990195556459,ARHGAP29,CID44971,Hist2ST
ABCD3,0.3417086452600723,ABCD3,CID44971,Hist2ST
CNN3,0.3283742775112654,CNN3,CID44971,Hist2ST
ALG14,0.13203507122155275,ALG14,CID44971,Hist2ST
