,Pearson correlation,Gene,Slide,Method
ISG15,0.4565486822031218,ISG15,CID4465,Hist2ST
PLA2G2D,0.11765995124999076,PLA2G2D,CID4465,Hist2ST
CAMK2N1,0.17952578943739014,CAMK2N1,CID4465,Hist2ST
USP48,0.17812394755223768,USP48,CID4465,Hist2ST
TCEA3,0.18100702558373247,TCEA3,CID4465,Hist2ST
PNRC2,0.3208429423050281,PNRC2,CID4465,Hist2ST
LDLRAP1,0.1630348893767628,LDLRAP1,CID4465,Hist2ST
IFI6,0.5005867913829134,IFI6,CID4465,Hist2ST
PSMB2,0.41509163685669104,PSMB2,CID4465,Hist2ST
GNL2,0.23352370303348408,GNL2,CID4465,Hist2ST
SF3A3,0.27941579895971874,SF3A3,CID4465,Hist2ST
UTP11,0.18825039200934698,UTP11,CID4465,Hist2ST
AKIRIN1,0.2298818780128391,AKIRIN1,CID4465,Hist2ST
MFSD2A,0.1462526717096462,MFSD2A,CID4465,Hist2ST
CAP1,0.5569408062709812,CAP1,CID4465,Hist2ST
CTPS1,0.22812831810257111,CTPS1,CID4465,Hist2ST
PPCS,0.3049585816554122,PPCS,CID4465,Hist2ST
PPIH,0.29799640705362185,PPIH,CID4465,Hist2ST
YBX1,0.4493932892316344,YBX1,CID4465,Hist2ST
EBNA1BP2,0.27794542763895597,EBNA1BP2,CID4465,Hist2ST
CDC20,0.3056563806195024,CDC20,CID4465,Hist2ST
PTPRF,0.5288296688674181,PTPRF,CID4465,Hist2ST
KDM4A,0.19881498832500438,KDM4A,CID4465,Hist2ST
EIF2B3,0.1995342605151989,EIF2B3,CID4465,Hist2ST
NASP,0.3552400022158702,NASP,CID4465,Hist2ST
GPBP1L1,0.30590443900715386,GPBP1L1,CID4465,Hist2ST
TSPAN1,0.04684307410277984,TSPAN1,CID4465,Hist2ST
RAD54L,0.1804272865577719,RAD54L,CID4465,Hist2ST
LRRC41,0.33648243746769807,LRRC41,CID4465,Hist2ST
CMPK1,0.2887993444655702,CMPK1,CID4465,Hist2ST
RNF11,0.2456125338365334,RNF11,CID4465,Hist2ST
TTC39A,0.16109809546034143,TTC39A,CID4465,Hist2ST
TXNDC12,0.26791751776713096,TXNDC12,CID4465,Hist2ST
PRPF38A,0.19325813031797132,PRPF38A,CID4465,Hist2ST
SCP2,0.36140182033210644,SCP2,CID4465,Hist2ST
NDC1,0.26997261782585374,NDC1,CID4465,Hist2ST
HSPB11,0.26471871010143927,HSPB11,CID4465,Hist2ST
