,Pearson correlation,Gene,Slide,Method
ISG15,0.13337400822048084,ISG15,CID4290,Hist2ST
PLA2G2D,-0.02703916000764133,PLA2G2D,CID4290,Hist2ST
CAMK2N1,0.46282864404438745,CAMK2N1,CID4290,Hist2ST
USP48,0.21201987952766993,USP48,CID4290,Hist2ST
TCEA3,0.3548554444750672,TCEA3,CID4290,Hist2ST
PNRC2,0.28126279087434375,PNRC2,CID4290,Hist2ST
LDLRAP1,0.24409757541825786,LDLRAP1,CID4290,Hist2ST
IFI6,0.2703586959343941,IFI6,CID4290,Hist2ST
PSMB2,0.3422698913350729,PSMB2,CID4290,Hist2ST
GNL2,0.2095527575675558,GNL2,CID4290,Hist2ST
SF3A3,0.20089242199567647,SF3A3,CID4290,Hist2ST
UTP11,0.17665298572071528,UTP11,CID4290,Hist2ST
AKIRIN1,0.2062744257978475,AKIRIN1,CID4290,Hist2ST
MFSD2A,0.0643570121221273,MFSD2A,CID4290,Hist2ST
CAP1,0.4021617661176421,CAP1,CID4290,Hist2ST
CTPS1,0.10796242743163471,CTPS1,CID4290,Hist2ST
PPCS,0.35701078856994134,PPCS,CID4290,Hist2ST
PPIH,0.24626816481373773,PPIH,CID4290,Hist2ST
YBX1,0.3958707450097584,YBX1,CID4290,Hist2ST
EBNA1BP2,0.2952695297752956,EBNA1BP2,CID4290,Hist2ST
CDC20,0.08872331871734258,CDC20,CID4290,Hist2ST
PTPRF,0.5191933698203058,PTPRF,CID4290,Hist2ST
KDM4A,0.15211917650404969,KDM4A,CID4290,Hist2ST
EIF2B3,0.18125526663359165,EIF2B3,CID4290,Hist2ST
NASP,0.13218047354637233,NASP,CID4290,Hist2ST
GPBP1L1,0.2520662038275841,GPBP1L1,CID4290,Hist2ST
TSPAN1,0.2829947088636525,TSPAN1,CID4290,Hist2ST
RAD54L,0.020471969660945367,RAD54L,CID4290,Hist2ST
LRRC41,0.30789143805576014,LRRC41,CID4290,Hist2ST
CMPK1,0.2989078970163119,CMPK1,CID4290,Hist2ST
RNF11,0.3013033798141263,RNF11,CID4290,Hist2ST
TTC39A,0.36254495010299365,TTC39A,CID4290,Hist2ST
TXNDC12,0.23989935780416144,TXNDC12,CID4290,Hist2ST
PRPF38A,0.16569571858532206,PRPF38A,CID4290,Hist2ST
SCP2,0.41240928626456763,SCP2,CID4290,Hist2ST
NDC1,0.1315713909096958,NDC1,CID4290,Hist2ST
HSPB11,0.27698484551765873,HSPB11,CID4290,Hist2ST
TMEM59,0.5082464354122802,TMEM59,CID4290,Hist2ST
SSBP3,0.15661865346517717,SSBP3,CID4290,Hist2ST
TACSTD2,0.592157040131581,TACSTD2,CID4290,Hist2ST
MYSM1,0.16053071228789248,MYSM1,CID4290,Hist2ST
TM2D1,0.24809757084354983,TM2D1,CID4290,Hist2ST
PATJ,0.2543504837285634,PATJ,CID4290,Hist2ST
USP1,0.1511737111691683,USP1,CID4290,Hist2ST
JAK1,0.28192703880857123,JAK1,CID4290,Hist2ST
LEPROT,0.29522201108234186,LEPROT,CID4290,Hist2ST
GNG12,0.23743774044059393,GNG12,CID4290,Hist2ST
SRSF11,0.30620865768096883,SRSF11,CID4290,Hist2ST
USP33,0.221783065082253,USP33,CID4290,Hist2ST
IFI44L,0.05769674387152545,IFI44L,CID4290,Hist2ST
IFI44,0.06985371024649577,IFI44,CID4290,Hist2ST
GNG5,0.47152504627396774,GNG5,CID4290,Hist2ST
LMO4,0.1691266700671431,LMO4,CID4290,Hist2ST
GTF2B,0.20664120607552397,GTF2B,CID4290,Hist2ST
GBP1,0.053624979356881756,GBP1,CID4290,Hist2ST
GBP2,0.18228070077547462,GBP2,CID4290,Hist2ST
GBP5,0.06042434782545542,GBP5,CID4290,Hist2ST
LRRC8B,0.13955986800526965,LRRC8B,CID4290,Hist2ST
LRRC8D,0.17062246718483662,LRRC8D,CID4290,Hist2ST
CDC7,0.04343543286948367,CDC7,CID4290,Hist2ST
GLMN,0.05487740217422939,GLMN,CID4290,Hist2ST
MTF2,0.1274558237432324,MTF2,CID4290,Hist2ST
TMED5,0.2653538889273263,TMED5,CID4290,Hist2ST
CCDC18,0.010699792065223156,CCDC18,CID4290,Hist2ST
DR1,0.23217746667821348,DR1,CID4290,Hist2ST
FNBP1L,0.25244834611200484,FNBP1L,CID4290,Hist2ST
BCAR3,0.2683185167231809,BCAR3,CID4290,Hist2ST
DNTTIP2,0.2070520390917837,DNTTIP2,CID4290,Hist2ST
GCLM,0.11374357228557747,GCLM,CID4290,Hist2ST
ARHGAP29,0.1366953700744283,ARHGAP29,CID4290,Hist2ST
ABCD3,0.2134118105667131,ABCD3,CID4290,Hist2ST
CNN3,0.46056158606466185,CNN3,CID4290,Hist2ST
ALG14,0.1786512559533536,ALG14,CID4290,Hist2ST
SNX7,0.11453681636570565,SNX7,CID4290,Hist2ST
VCAM1,0.10990228751840188,VCAM1,CID4290,Hist2ST
PSMA5,0.3356844104803623,PSMA5,CID4290,Hist2ST
GSTM3,0.393588709538072,GSTM3,CID4290,Hist2ST
CD53,0.13568884618348478,CD53,CID4290,Hist2ST
WDR3,0.10981505648328285,WDR3,CID4290,Hist2ST
PHGDH,0.10127841026142728,PHGDH,CID4290,Hist2ST
CTSS,0.20519111786928634,CTSS,CID4290,Hist2ST
CTSK,0.40257104002802113,CTSK,CID4290,Hist2ST
SCNM1,0.3141712638607805,SCNM1,CID4290,Hist2ST
S100A8,0.25239030463072576,S100A8,CID4290,Hist2ST
S100A14,0.7250722897743942,S100A14,CID4290,Hist2ST
S100A1,0.5080460204004195,S100A1,CID4290,Hist2ST
CREB3L4,0.5330052649360126,CREB3L4,CID4290,Hist2ST
EFNA3,0.32683414426599006,EFNA3,CID4290,Hist2ST
RIT1,0.22020415842827415,RIT1,CID4290,Hist2ST
CRABP2,0.7339155593317949,CRABP2,CID4290,Hist2ST
IFI16,0.13653675768176066,IFI16,CID4290,Hist2ST
USF1,0.10802277624891235,USF1,CID4290,Hist2ST
