,Pearson correlation,Gene,Slide,Method
ISG15,0.07033776337333102,ISG15,block1,Hist2ST
PLA2G2D,0.12804339779660878,PLA2G2D,block1,Hist2ST
CAMK2N1,0.17945702988204634,CAMK2N1,block1,Hist2ST
USP48,0.09282301385861837,USP48,block1,Hist2ST
TCEA3,0.2145520696973612,TCEA3,block1,Hist2ST
PNRC2,0.19645273563154358,PNRC2,block1,Hist2ST
LDLRAP1,0.11808898102509721,LDLRAP1,block1,Hist2ST
IFI6,-0.05145918110995254,IFI6,block1,Hist2ST
PSMB2,0.19408448655696586,PSMB2,block1,Hist2ST
GNL2,0.16185002208602398,GNL2,block1,Hist2ST
SF3A3,0.20082231209185367,SF3A3,block1,Hist2ST
UTP11,0.13654818419774054,UTP11,block1,Hist2ST
AKIRIN1,0.08672397912194303,AKIRIN1,block1,Hist2ST
MFSD2A,0.03247786542491824,MFSD2A,block1,Hist2ST
CAP1,0.10493169282616542,CAP1,block1,Hist2ST
CTPS1,0.12293140668081158,CTPS1,block1,Hist2ST
PPCS,0.1888599173964378,PPCS,block1,Hist2ST
PPIH,0.13667354809311527,PPIH,block1,Hist2ST
YBX1,0.10161997089824014,YBX1,block1,Hist2ST
EBNA1BP2,0.19070489893137316,EBNA1BP2,block1,Hist2ST
CDC20,0.13142514303812192,CDC20,block1,Hist2ST
PTPRF,0.21721717167225124,PTPRF,block1,Hist2ST
KDM4A,0.0974855788308923,KDM4A,block1,Hist2ST
EIF2B3,0.15402731768420747,EIF2B3,block1,Hist2ST
NASP,0.15479452319378953,NASP,block1,Hist2ST
GPBP1L1,0.20385327085581942,GPBP1L1,block1,Hist2ST
TSPAN1,0.15588105596560461,TSPAN1,block1,Hist2ST
RAD54L,0.13522115830292536,RAD54L,block1,Hist2ST
LRRC41,0.16451360999341078,LRRC41,block1,Hist2ST
CMPK1,0.14715502274080847,CMPK1,block1,Hist2ST
RNF11,0.13705160976034875,RNF11,block1,Hist2ST
TTC39A,0.21042456877519455,TTC39A,block1,Hist2ST
TXNDC12,0.15855679704598152,TXNDC12,block1,Hist2ST
PRPF38A,0.1806150602972351,PRPF38A,block1,Hist2ST
SCP2,0.16911977761296318,SCP2,block1,Hist2ST
NDC1,0.12517296723635213,NDC1,block1,Hist2ST
HSPB11,0.17517860790902617,HSPB11,block1,Hist2ST
TMEM59,0.17222276352487606,TMEM59,block1,Hist2ST
SSBP3,0.10473255327241046,SSBP3,block1,Hist2ST
TACSTD2,0.16418409646447893,TACSTD2,block1,Hist2ST
MYSM1,0.08739409151306378,MYSM1,block1,Hist2ST
TM2D1,0.12366702533047585,TM2D1,block1,Hist2ST
PATJ,0.17284013211274418,PATJ,block1,Hist2ST
USP1,0.13064655750130366,USP1,block1,Hist2ST
JAK1,0.12741402477233962,JAK1,block1,Hist2ST
LEPROT,0.1113453327029871,LEPROT,block1,Hist2ST
GNG12,0.03976526658446452,GNG12,block1,Hist2ST
SRSF11,0.10537063283740113,SRSF11,block1,Hist2ST
USP33,0.13188629141516406,USP33,block1,Hist2ST
IFI44L,0.043729788125486696,IFI44L,block1,Hist2ST
IFI44,0.07886400092582553,IFI44,block1,Hist2ST
GNG5,0.14457492383767573,GNG5,block1,Hist2ST
LMO4,0.05361368275033728,LMO4,block1,Hist2ST
GTF2B,0.13287315322203772,GTF2B,block1,Hist2ST
GBP1,0.12270526550326777,GBP1,block1,Hist2ST
GBP2,0.13572917014949332,GBP2,block1,Hist2ST
GBP5,0.1292612543398498,GBP5,block1,Hist2ST
LRRC8B,0.09370958546271194,LRRC8B,block1,Hist2ST
LRRC8D,0.057484427047413404,LRRC8D,block1,Hist2ST
CDC7,0.07185016157242194,CDC7,block1,Hist2ST
GLMN,0.050995749084101004,GLMN,block1,Hist2ST
MTF2,0.09502443640054702,MTF2,block1,Hist2ST
TMED5,0.18186719811695692,TMED5,block1,Hist2ST
CCDC18,0.01230695569184857,CCDC18,block1,Hist2ST
DR1,0.16211863480211613,DR1,block1,Hist2ST
FNBP1L,0.18026536135424187,FNBP1L,block1,Hist2ST
BCAR3,0.08548898641668694,BCAR3,block1,Hist2ST
DNTTIP2,0.125278954921794,DNTTIP2,block1,Hist2ST
GCLM,0.11657035656999665,GCLM,block1,Hist2ST
ARHGAP29,0.03420914913378445,ARHGAP29,block1,Hist2ST
ABCD3,0.17985243835407738,ABCD3,block1,Hist2ST
CNN3,0.09648727379883776,CNN3,block1,Hist2ST
ALG14,0.12878159765052158,ALG14,block1,Hist2ST
SNX7,0.07542459077868828,SNX7,block1,Hist2ST
VCAM1,0.11496653194165136,VCAM1,block1,Hist2ST
PSMA5,0.16475970600540277,PSMA5,block1,Hist2ST
GSTM3,0.11980777631632242,GSTM3,block1,Hist2ST
CD53,0.1528552081375879,CD53,block1,Hist2ST
WDR3,0.15235556367358724,WDR3,block1,Hist2ST
PHGDH,0.012953944964071562,PHGDH,block1,Hist2ST
CTSS,0.1469906986802947,CTSS,block1,Hist2ST
CTSK,0.08365322985257063,CTSK,block1,Hist2ST
SCNM1,0.17236785512182165,SCNM1,block1,Hist2ST
S100A8,0.07580687936759342,S100A8,block1,Hist2ST
S100A14,0.07892062730579033,S100A14,block1,Hist2ST
S100A1,0.13539571538823436,S100A1,block1,Hist2ST
CREB3L4,0.22056895746725833,CREB3L4,block1,Hist2ST
EFNA3,0.11315548425999954,EFNA3,block1,Hist2ST
RIT1,0.15396772418850543,RIT1,block1,Hist2ST
CRABP2,0.07624129972206045,CRABP2,block1,Hist2ST
IFI16,0.09197657118411752,IFI16,block1,Hist2ST
USF1,-0.002754102702405668,USF1,block1,Hist2ST
OLFML2B,0.1148651421535823,OLFML2B,block1,Hist2ST
MPC2,0.1672051929370351,MPC2,block1,Hist2ST
ATP1B1,0.09372889094245236,ATP1B1,block1,Hist2ST
RABGAP1L,0.10889764362112703,RABGAP1L,block1,Hist2ST
XPR1,0.07455388790017645,XPR1,block1,Hist2ST
LAMC1,0.0930797362562107,LAMC1,block1,Hist2ST
C1orf21,0.10354893743957962,C1orf21,block1,Hist2ST
TPR,0.13115377303228257,TPR,block1,Hist2ST
PTPRC,0.19206087400159388,PTPRC,block1,Hist2ST
UBE2T,0.2056079871745527,UBE2T,block1,Hist2ST
NUCKS1,0.07004751897951658,NUCKS1,block1,Hist2ST
ATF3,0.0666143482991403,ATF3,block1,Hist2ST
CENPF,0.18010097080550808,CENPF,block1,Hist2ST
KCTD3,0.22671101264356144,KCTD3,block1,Hist2ST
LYPLAL1,0.19708898969419208,LYPLAL1,block1,Hist2ST
IARS2,0.2015666093044129,IARS2,block1,Hist2ST
CNIH4,0.18513467405771233,CNIH4,block1,Hist2ST
NUP133,0.1680920287624942,NUP133,block1,Hist2ST
ARID4B,0.14767615169554754,ARID4B,block1,Hist2ST
