,Pearson correlation,Gene,Slide,Method
ISG15,0.11221117375764222,ISG15,block1,HisToGene
PLA2G2D,0.09948190022930511,PLA2G2D,block1,HisToGene
CAMK2N1,0.33844127129551205,CAMK2N1,block1,HisToGene
USP48,0.22161230940699123,USP48,block1,HisToGene
TCEA3,0.3838060748020813,TCEA3,block1,HisToGene
PNRC2,0.301531038211242,PNRC2,block1,HisToGene
LDLRAP1,0.2114594525938607,LDLRAP1,block1,HisToGene
IFI6,-0.015719163399325005,IFI6,block1,HisToGene
PSMB2,0.2530761740907064,PSMB2,block1,HisToGene
GNL2,0.28529011298097284,GNL2,block1,HisToGene
SF3A3,0.2763026214872619,SF3A3,block1,HisToGene
UTP11,0.23792246455667504,UTP11,block1,HisToGene
AKIRIN1,-0.06825426289040057,AKIRIN1,block1,HisToGene
MFSD2A,0.08215599773695055,MFSD2A,block1,HisToGene
CAP1,0.19532051074790222,CAP1,block1,HisToGene
CTPS1,0.23809530101260581,CTPS1,block1,HisToGene
PPCS,0.32622805635999585,PPCS,block1,HisToGene
PPIH,0.24572988392447975,PPIH,block1,HisToGene
YBX1,0.23867153622947693,YBX1,block1,HisToGene
EBNA1BP2,0.3562974687916757,EBNA1BP2,block1,HisToGene
CDC20,0.24736438050531254,CDC20,block1,HisToGene
PTPRF,0.39411373960970003,PTPRF,block1,HisToGene
KDM4A,0.18599838862498053,KDM4A,block1,HisToGene
EIF2B3,0.22528927765513984,EIF2B3,block1,HisToGene
NASP,0.20667029089382252,NASP,block1,HisToGene
GPBP1L1,0.3040814553381122,GPBP1L1,block1,HisToGene
TSPAN1,0.27494521387901805,TSPAN1,block1,HisToGene
RAD54L,0.19302156597296322,RAD54L,block1,HisToGene
LRRC41,0.2938349492705599,LRRC41,block1,HisToGene
CMPK1,-0.18547241564113867,CMPK1,block1,HisToGene
RNF11,-0.13816460633146702,RNF11,block1,HisToGene
TTC39A,0.38029216422078693,TTC39A,block1,HisToGene
TXNDC12,-0.07739969480741492,TXNDC12,block1,HisToGene
PRPF38A,0.16233130801284806,PRPF38A,block1,HisToGene
SCP2,0.3044222391738654,SCP2,block1,HisToGene
NDC1,0.21222023889424724,NDC1,block1,HisToGene
HSPB11,0.3183247768757437,HSPB11,block1,HisToGene
TMEM59,0.3658020819528961,TMEM59,block1,HisToGene
SSBP3,-0.012657847622609365,SSBP3,block1,HisToGene
TACSTD2,0.415231401454669,TACSTD2,block1,HisToGene
MYSM1,0.17439141192700566,MYSM1,block1,HisToGene
TM2D1,0.23927074371340717,TM2D1,block1,HisToGene
PATJ,-0.1892758390038896,PATJ,block1,HisToGene
USP1,0.22164743364533435,USP1,block1,HisToGene
JAK1,0.08286173926020549,JAK1,block1,HisToGene
LEPROT,0.013716851170796634,LEPROT,block1,HisToGene
GNG12,0.031713613566467985,GNG12,block1,HisToGene
SRSF11,-0.07130483703425702,SRSF11,block1,HisToGene
USP33,0.09209166602236112,USP33,block1,HisToGene
IFI44L,-0.08239126216583965,IFI44L,block1,HisToGene
IFI44,-0.1413756742008578,IFI44,block1,HisToGene
GNG5,0.37077976311543304,GNG5,block1,HisToGene
LMO4,0.01150458250637552,LMO4,block1,HisToGene
GTF2B,0.18968001706921747,GTF2B,block1,HisToGene
GBP1,0.009375905551287332,GBP1,block1,HisToGene
GBP2,-0.031846061948016334,GBP2,block1,HisToGene
GBP5,-0.03995756717367548,GBP5,block1,HisToGene
LRRC8B,-0.02966379139406293,LRRC8B,block1,HisToGene
LRRC8D,0.15620939536822914,LRRC8D,block1,HisToGene
CDC7,0.06824279434775386,CDC7,block1,HisToGene
GLMN,-0.0026797004897907875,GLMN,block1,HisToGene
MTF2,0.14054473226376107,MTF2,block1,HisToGene
TMED5,0.22066620335215514,TMED5,block1,HisToGene
CCDC18,0.01926556708286306,CCDC18,block1,HisToGene
DR1,-0.057617682812682654,DR1,block1,HisToGene
FNBP1L,0.2961166548254852,FNBP1L,block1,HisToGene
BCAR3,0.16479994858938332,BCAR3,block1,HisToGene
DNTTIP2,0.20080415182250555,DNTTIP2,block1,HisToGene
GCLM,0.17279741300659335,GCLM,block1,HisToGene
ARHGAP29,0.16182775406345445,ARHGAP29,block1,HisToGene
ABCD3,0.31118322400201937,ABCD3,block1,HisToGene
CNN3,-0.06879884309897823,CNN3,block1,HisToGene
ALG14,0.1534669740441951,ALG14,block1,HisToGene
SNX7,0.19011782975575553,SNX7,block1,HisToGene
VCAM1,0.027784156844387606,VCAM1,block1,HisToGene
PSMA5,0.26237697324135434,PSMA5,block1,HisToGene
GSTM3,0.26895284797783237,GSTM3,block1,HisToGene
CD53,-0.052840222441030316,CD53,block1,HisToGene
WDR3,0.1745318224031865,WDR3,block1,HisToGene
PHGDH,-0.07843020132941945,PHGDH,block1,HisToGene
CTSS,-0.056004826338600204,CTSS,block1,HisToGene
CTSK,-0.020140912135207245,CTSK,block1,HisToGene
SCNM1,0.28860811397405806,SCNM1,block1,HisToGene
S100A8,0.026743892062431225,S100A8,block1,HisToGene
S100A14,0.3273329659508401,S100A14,block1,HisToGene
S100A1,0.13013539728246998,S100A1,block1,HisToGene
CREB3L4,0.4163862537928818,CREB3L4,block1,HisToGene
EFNA3,0.1933044866600529,EFNA3,block1,HisToGene
RIT1,-0.03223075282254357,RIT1,block1,HisToGene
CRABP2,0.2139735219656842,CRABP2,block1,HisToGene
IFI16,0.027102125518446676,IFI16,block1,HisToGene
USF1,0.0575774923552153,USF1,block1,HisToGene
OLFML2B,0.05309800589058131,OLFML2B,block1,HisToGene
MPC2,0.3714845291588862,MPC2,block1,HisToGene
ATP1B1,-0.11411485450999066,ATP1B1,block1,HisToGene
RABGAP1L,0.05953925368746904,RABGAP1L,block1,HisToGene
XPR1,-0.025416367923559627,XPR1,block1,HisToGene
LAMC1,0.1366904054420594,LAMC1,block1,HisToGene
C1orf21,-0.045861675450968045,C1orf21,block1,HisToGene
TPR,0.21343717099190399,TPR,block1,HisToGene
PTPRC,0.0230665362494961,PTPRC,block1,HisToGene
UBE2T,0.3433296886808745,UBE2T,block1,HisToGene
