,Pearson correlation,Gene,Slide,Method
ISG15,0.06713142824728889,ISG15,CID4535,HisToGene
PLA2G2D,0.02726498888437503,PLA2G2D,CID4535,HisToGene
CAMK2N1,0.1199585087220532,CAMK2N1,CID4535,HisToGene
USP48,-0.016488564764671643,USP48,CID4535,HisToGene
TCEA3,0.1386054160888896,TCEA3,CID4535,HisToGene
PNRC2,0.11058385702590916,PNRC2,CID4535,HisToGene
LDLRAP1,0.023238978750518256,LDLRAP1,CID4535,HisToGene
IFI6,0.04710197729522119,IFI6,CID4535,HisToGene
PSMB2,0.04652235332671138,PSMB2,CID4535,HisToGene
GNL2,0.0498378024728743,GNL2,CID4535,HisToGene
SF3A3,0.07548924826445493,SF3A3,CID4535,HisToGene
UTP11,0.021596257307140525,UTP11,CID4535,HisToGene
AKIRIN1,0.035273360522833475,AKIRIN1,CID4535,HisToGene
MFSD2A,-0.05919740501935245,MFSD2A,CID4535,HisToGene
CAP1,0.07894802900125206,CAP1,CID4535,HisToGene
CTPS1,0.0753594440958026,CTPS1,CID4535,HisToGene
PPCS,0.06342903466783117,PPCS,CID4535,HisToGene
PPIH,0.05115976849830043,PPIH,CID4535,HisToGene
YBX1,-0.04062269778075912,YBX1,CID4535,HisToGene
EBNA1BP2,0.047485049842304033,EBNA1BP2,CID4535,HisToGene
CDC20,-0.022445916380901976,CDC20,CID4535,HisToGene
PTPRF,0.10363368502572545,PTPRF,CID4535,HisToGene
KDM4A,0.07168386148442316,KDM4A,CID4535,HisToGene
EIF2B3,0.05126303760455217,EIF2B3,CID4535,HisToGene
NASP,0.050285619855543896,NASP,CID4535,HisToGene
GPBP1L1,0.09050456873055514,GPBP1L1,CID4535,HisToGene
TSPAN1,0.0559138364585182,TSPAN1,CID4535,HisToGene
RAD54L,0.036986115886975764,RAD54L,CID4535,HisToGene
LRRC41,0.08581871476052329,LRRC41,CID4535,HisToGene
CMPK1,-0.015342956102758753,CMPK1,CID4535,HisToGene
RNF11,-0.08966591441794836,RNF11,CID4535,HisToGene
TTC39A,0.1272185440821308,TTC39A,CID4535,HisToGene
TXNDC12,0.001213218514195815,TXNDC12,CID4535,HisToGene
PRPF38A,-0.00392640122479835,PRPF38A,CID4535,HisToGene
SCP2,0.07002363785423703,SCP2,CID4535,HisToGene
NDC1,0.0626393909760781,NDC1,CID4535,HisToGene
HSPB11,0.1080472868049841,HSPB11,CID4535,HisToGene
TMEM59,0.07806381028298384,TMEM59,CID4535,HisToGene
SSBP3,-0.04561780379844926,SSBP3,CID4535,HisToGene
TACSTD2,0.07865729282120563,TACSTD2,CID4535,HisToGene
MYSM1,0.054267826633344875,MYSM1,CID4535,HisToGene
TM2D1,0.07538897612009827,TM2D1,CID4535,HisToGene
PATJ,-0.03425205275523951,PATJ,CID4535,HisToGene
USP1,0.05926487583647997,USP1,CID4535,HisToGene
JAK1,0.04422611831980531,JAK1,CID4535,HisToGene
LEPROT,-0.10663687712148238,LEPROT,CID4535,HisToGene
GNG12,-0.0029988699026296623,GNG12,CID4535,HisToGene
SRSF11,-0.06977799194103615,SRSF11,CID4535,HisToGene
USP33,0.03484515889521072,USP33,CID4535,HisToGene
IFI44L,0.027141410386220862,IFI44L,CID4535,HisToGene
IFI44,-0.02203202152952975,IFI44,CID4535,HisToGene
GNG5,0.07786532654930278,GNG5,CID4535,HisToGene
LMO4,-0.01816317047437399,LMO4,CID4535,HisToGene
GTF2B,0.024054169036992777,GTF2B,CID4535,HisToGene
GBP1,0.03588456329009811,GBP1,CID4535,HisToGene
GBP2,-0.002911933287432411,GBP2,CID4535,HisToGene
GBP5,0.0030986631486966043,GBP5,CID4535,HisToGene
LRRC8B,0.001819820283626366,LRRC8B,CID4535,HisToGene
LRRC8D,0.03956894846852518,LRRC8D,CID4535,HisToGene
CDC7,0.05516936959328563,CDC7,CID4535,HisToGene
GLMN,0.029936880673438172,GLMN,CID4535,HisToGene
MTF2,0.04169400517543337,MTF2,CID4535,HisToGene
TMED5,0.05947835401872249,TMED5,CID4535,HisToGene
CCDC18,0.025425837592077536,CCDC18,CID4535,HisToGene
DR1,0.003692097836625336,DR1,CID4535,HisToGene
FNBP1L,0.09534169712976541,FNBP1L,CID4535,HisToGene
BCAR3,0.005826556711171653,BCAR3,CID4535,HisToGene
DNTTIP2,0.04665592170142947,DNTTIP2,CID4535,HisToGene
GCLM,-0.012246929713556823,GCLM,CID4535,HisToGene
ARHGAP29,0.09053923259136032,ARHGAP29,CID4535,HisToGene
ABCD3,0.1432111057737044,ABCD3,CID4535,HisToGene
CNN3,0.0010898023264272626,CNN3,CID4535,HisToGene
ALG14,0.050386721142115426,ALG14,CID4535,HisToGene
SNX7,-0.017271340704228796,SNX7,CID4535,HisToGene
VCAM1,0.035712880244369284,VCAM1,CID4535,HisToGene
PSMA5,0.06413418201641251,PSMA5,CID4535,HisToGene
GSTM3,0.09087113299019468,GSTM3,CID4535,HisToGene
CD53,-0.00286946998959947,CD53,CID4535,HisToGene
WDR3,0.09284363627934533,WDR3,CID4535,HisToGene
PHGDH,-0.0133711970649287,PHGDH,CID4535,HisToGene
CTSS,0.06606023410761117,CTSS,CID4535,HisToGene
CTSK,0.07819092455970128,CTSK,CID4535,HisToGene
SCNM1,0.041651498636161514,SCNM1,CID4535,HisToGene
S100A8,-0.04922872945636601,S100A8,CID4535,HisToGene
S100A14,-0.006874528663052989,S100A14,CID4535,HisToGene
S100A1,-0.05328015478715599,S100A1,CID4535,HisToGene
CREB3L4,0.11188759178418922,CREB3L4,CID4535,HisToGene
EFNA3,0.008675901149241523,EFNA3,CID4535,HisToGene
RIT1,0.0011006375689047688,RIT1,CID4535,HisToGene
CRABP2,0.13861723482840904,CRABP2,CID4535,HisToGene
IFI16,0.045691027969075565,IFI16,CID4535,HisToGene
USF1,0.03301254647285135,USF1,CID4535,HisToGene
OLFML2B,0.13145913303290283,OLFML2B,CID4535,HisToGene
MPC2,0.09538313975071284,MPC2,CID4535,HisToGene
ATP1B1,-0.04356784247480858,ATP1B1,CID4535,HisToGene
RABGAP1L,0.036712366868429845,RABGAP1L,CID4535,HisToGene
XPR1,0.005758323523830391,XPR1,CID4535,HisToGene
LAMC1,0.0477556754201371,LAMC1,CID4535,HisToGene
C1orf21,-0.058347801880951504,C1orf21,CID4535,HisToGene
TPR,0.06339135237496839,TPR,CID4535,HisToGene
PTPRC,0.057420473765954765,PTPRC,CID4535,HisToGene
UBE2T,0.08949521566676587,UBE2T,CID4535,HisToGene
NUCKS1,0.10113536630944092,NUCKS1,CID4535,HisToGene
ATF3,0.003010182390441435,ATF3,CID4535,HisToGene
CENPF,0.043343306256066236,CENPF,CID4535,HisToGene
KCTD3,0.16960308116660067,KCTD3,CID4535,HisToGene
LYPLAL1,0.02285909511812673,LYPLAL1,CID4535,HisToGene
IARS2,0.07639115440815343,IARS2,CID4535,HisToGene
CNIH4,0.07213971834595119,CNIH4,CID4535,HisToGene
NUP133,0.06499565404167573,NUP133,CID4535,HisToGene
ARID4B,0.07732424422202112,ARID4B,CID4535,HisToGene
CHML,0.08091578238932512,CHML,CID4535,HisToGene
SCCPDH,0.10160792393563368,SCCPDH,CID4535,HisToGene
GATA3,0.16217868313500666,GATA3,CID4535,HisToGene
FAM107B,-0.021309495132180167,FAM107B,CID4535,HisToGene
HSPA14,0.06631822570525017,HSPA14,CID4535,HisToGene
NEBL,0.07931328509815064,NEBL,CID4535,HisToGene
BAMBI,0.06490982759135741,BAMBI,CID4535,HisToGene
ARHGAP12,0.029024508275618463,ARHGAP12,CID4535,HisToGene
