,Pearson correlation,Gene,Slide,Method
ISG15,0.07776913650582551,ISG15,1160920F,HisToGene
PLA2G2D,-0.039220653175939785,PLA2G2D,1160920F,HisToGene
CAMK2N1,0.15555336073000647,CAMK2N1,1160920F,HisToGene
USP48,0.10169300756416487,USP48,1160920F,HisToGene
TCEA3,0.14063694331098156,TCEA3,1160920F,HisToGene
PNRC2,0.11573102727044925,PNRC2,1160920F,HisToGene
LDLRAP1,0.06694223181778801,LDLRAP1,1160920F,HisToGene
IFI6,-0.05983178828992851,IFI6,1160920F,HisToGene
PSMB2,0.16220132851987468,PSMB2,1160920F,HisToGene
GNL2,0.11964817679890208,GNL2,1160920F,HisToGene
SF3A3,0.14471901732574338,SF3A3,1160920F,HisToGene
UTP11,0.08322904455750428,UTP11,1160920F,HisToGene
AKIRIN1,0.15471632422020443,AKIRIN1,1160920F,HisToGene
MFSD2A,0.07278891536122069,MFSD2A,1160920F,HisToGene
CAP1,0.07237463962902034,CAP1,1160920F,HisToGene
CTPS1,0.14797569100976785,CTPS1,1160920F,HisToGene
PPCS,0.17222584759934984,PPCS,1160920F,HisToGene
PPIH,0.12102147300386826,PPIH,1160920F,HisToGene
YBX1,0.16679103073812815,YBX1,1160920F,HisToGene
EBNA1BP2,0.15221688777756795,EBNA1BP2,1160920F,HisToGene
CDC20,0.07019546037465038,CDC20,1160920F,HisToGene
PTPRF,0.21028215882876372,PTPRF,1160920F,HisToGene
KDM4A,0.076893144878925,KDM4A,1160920F,HisToGene
EIF2B3,0.12133517037260207,EIF2B3,1160920F,HisToGene
NASP,0.1565746525797665,NASP,1160920F,HisToGene
GPBP1L1,0.14309468500031758,GPBP1L1,1160920F,HisToGene
TSPAN1,0.020547549430252495,TSPAN1,1160920F,HisToGene
RAD54L,0.11113171547272911,RAD54L,1160920F,HisToGene
LRRC41,0.0743786222041968,LRRC41,1160920F,HisToGene
CMPK1,0.07386553201226875,CMPK1,1160920F,HisToGene
RNF11,-0.034921071004414064,RNF11,1160920F,HisToGene
TTC39A,0.08486361711515436,TTC39A,1160920F,HisToGene
TXNDC12,0.1577091456273485,TXNDC12,1160920F,HisToGene
PRPF38A,0.13752755220408033,PRPF38A,1160920F,HisToGene
SCP2,0.14074166926972945,SCP2,1160920F,HisToGene
NDC1,0.1385087757595453,NDC1,1160920F,HisToGene
HSPB11,0.17412147949876836,HSPB11,1160920F,HisToGene
TMEM59,0.06390305637717057,TMEM59,1160920F,HisToGene
SSBP3,-0.018055427695467505,SSBP3,1160920F,HisToGene
TACSTD2,0.20502849655473884,TACSTD2,1160920F,HisToGene
MYSM1,0.10167680974314604,MYSM1,1160920F,HisToGene
TM2D1,0.1497395351170852,TM2D1,1160920F,HisToGene
